Symbol,Name,Market Cap,Country,Sector
APA,APA Corporation Common Stock,8733453343,United States,Energy
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,3219694789,United States,Finance
APCX,AppTech Payments Corp. Common Stock,20870500,United States,Technology
APCXW,AppTech Payments Corp. Warrant,2762641,United States,Technology
APD,Air Products and Chemicals Inc. Common Stock,61738960350,United States,Industrials
APDN,Applied DNA Sciences Inc. Common Stock,15552071,United States,Consumer Discretionary
APEI,American Public Education Inc. Common Stock,257736330,United States,Real Estate
APG,APi Group Corporation Common Stock,9284710672,United States,Consumer Discretionary
APGE,Apogee Therapeutics Inc. Common Stock,2960546387,United States,Health Care
APH,Amphenol Corporation Common Stock,74738162990,United States,Technology
APLD,Applied Digital Corporation Common Stock,924162504,United States,Finance
APLE,Apple Hospitality REIT Inc. Common Shares,3380032183,United States,Real Estate
APLM,Apollomics Inc. Class A Ordinary Shares,15065890,United States,Health Care
APLMW,Apollomics Inc. Warrant,1000727,United States,Health Care
APLS,Apellis Pharmaceuticals Inc. Common Stock,4670956342,United States,Health Care
APLT,Applied Therapeutics Inc. Common Stock,598349072,United States,Health Care
APO,Apollo Global Management Inc. (New) Common Stock,61891289230,United States,Finance
APOG,Apogee Enterprises Inc. Common Stock,1373893330,United States,Consumer Discretionary
APOS,Apollo Global Management Inc. 7.625% Fixed-Rate Resettable Junior Subordinated Notes due 2053,15240737092,United States,Finance
APP,Applovin Corporation Class A Common Stock,32612634634,United States,Technology
APPF,AppFolio Inc. Class A Common Stock,8129407268,United States,Technology
APPN,Appian Corporation Class A Common Stock,2275368502,United States,Technology
APPS,Digital Turbine Inc. Common Stock,283661691,United States,Miscellaneous
APRE,Aprea Therapeutics Inc. Common stock,17490728,United States,Health Care
APVO,Aptevo Therapeutics Inc. Common Stock,3400797,United States,Health Care
APYX,Apyx Medical Corporation Common Stock,43651347,United States,Health Care
AQB,AquaBounty Technologies Inc. Common Stock,3778798,United States,Consumer Staples
AQMS,Aqua Metals Inc. Common Stock,30554846,United States,Industrials
AQN,Algonquin Power & Utilities Corp. Common Shares,4103396500,United States,Utilities
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079,19926400200,United States,Utilities
AQST,Aquestive Therapeutics Inc. Common Stock,450745812,United States,Health Care
AQU,Aquaron Acquisition Corp. Common Stock,0,United States,Finance
AR,Antero Resources Corporation Common Stock,8238575430,United States,Energy
ARAY,Accuray Incorporated Common Stock,195511021,United States,Health Care
ARC,ARC Document Solutions Inc. Common Stock,145319157,United States,Consumer Discretionary
ARCB,ArcBest Corporation Common Stock,2336898799,United States,Industrials
ARCC,Ares Capital Corporation Common Stock,12941836713,United States,Finance
ARCH,Arch Resources Inc. Class A Common Stock,2221316310,United States,Energy
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares,352202612,United States,Finance
ARDX,Ardelyx Inc. Common Stock,1403151971,United States,Health Care
ARE,Alexandria Real Estate Equities Inc. Common Stock,21092585882,United States,Real Estate
AREB,American Rebel Holdings Inc. Common Stock,4203365,United States,Industrials
AREBW,American Rebel Holdings Inc. Warrants,121898,United States,Industrials
AREC,American Resources Corporation Class A Common Stock,35614299,United States,Energy
AREN,The Arena Group Holdings Inc. Common Stock,26632467,United States,Technology
ARES,Ares Management Corporation Class A Common Stock,44276069422,United States,Finance
ARHS,Arhaus Inc. Class A Common Stock,1537903803,United States,Consumer Discretionary
ARI,Apollo Commercial Real Estate Finance Inc,1409753454,United States,Real Estate
ARIS,Aris Water Solutions Inc. Class A Common Stock,893744781,United States,Energy
ARKO,ARKO Corp. Common Stock,673789071,United States,Consumer Staples
ARKOW,ARKO Corp. Warrant,39339094,United States,Consumer Staples
ARKR,Ark Restaurants Corp. Common Stock,42529053,United States,Consumer Discretionary
ARL,American Realty Investors Inc. Common Stock,264570464,United States,Real Estate
ARLO,Arlo Technologies Inc. Common Stock,1123285642,United States,Consumer Staples
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,2956951141,United States,Energy
ARMK,Aramark Common Stock,10008409579,United States,Consumer Discretionary
ARMP,Armata Pharmaceuticals Inc. Common Stock,82497393,United States,Health Care
AROC,Archrock Inc. Common Stock,3191260185,United States,Utilities
AROW,Arrow Financial Corporation Common Stock,466506784,United States,Finance
ARQ,Arq Inc. Common Stock,211050082,United States,Industrials
ARQT,Arcutis Biotherapeutics Inc. Common Stock,1229693562,United States,Health Care
ARR,ARMOUR Residential REIT Inc.,1004083066,United States,Real Estate
ARRY,Array Technologies Inc. Common Stock,1002714425,United States,Consumer Discretionary
ARTL,Artelo Biosciences Inc. Common Stock,3840963,United States,Health Care
ARTNA,Artesian Resources Corporation Class A Common Stock,388760346,United States,Utilities
ARTV,Artiva Biotherapeutics Inc. Common Stock,279787899,United States,Health Care
ARTW,Art's-Way Manufacturing Co. Inc. Common Stock,9331483,United States,Industrials
ARVN,Arvinas Inc. Common Stock,1708650238,United States,Health Care
ARW,Arrow Electronics Inc. Common Stock,6583077973,United States,Technology
ARWR,Arrowhead Pharmaceuticals Inc. Common Stock,2603161838,United States,Health Care
ASA,ASA  Gold and Precious Metals Limited,366508195,United States,Industrials
ASAN,Asana Inc. Class A Common Stock,2662677918,United States,Technology
ASB,Associated Banc-Corp Common Stock,3099502740,United States,Finance
ASBA,Associated Banc-Corp 6.625% Fixed-Rate Reset Subordinated Notes due 2033,3731777155,United States,Finance
ASG,Liberty All-Star Growth Fund Inc.,0,United States,Finance
ASGI,abrdn Global Infrastructure Income Fund Common Shares of Beneficial Interest,0,United States,Finance
ASGN,ASGN Incorporated Common Stock,3994816000,United States,Consumer Discretionary
ASH,Ashland Inc. Common Stock,4121897978,United States,Consumer Discretionary
ASIX,AdvanSix Inc. Common Stock ,725790471,United States,Industrials
ASLE,AerSale Corporation Common Stock,271889548,United States,Consumer Discretionary
ASMB,Assembly Biosciences Inc. Common Stock,110285850,United States,Health Care
